"Query","True Time","Normalized Time"
"synthetic_1",1610.133,0.8461434327548728
"synthetic_2",2.531,0.16955612911455878
"synthetic_3",253.298,0.6522994089638237
"synthetic_4",1827.789,0.8594321386194997
"synthetic_5",98.475,0.5532800463542796
"synthetic_6",62.102,0.504960724430751
"synthetic_7",50.964,0.4842443986350695
"synthetic_8",4.901,0.2388162324261084
"synthetic_9",283.43,0.6640797373442359
"synthetic_10",45.469,0.4722869219489154
"synthetic_11",1.035,0.07583493398609001
"synthetic_12",1811.355,0.8584855227043978
"synthetic_13",1.92,0.14059864203994263
"synthetic_14",69.878,0.5173252717257039
"synthetic_15",56.808,0.49562217215110776
"synthetic_16",77.21,0.527782873984918
"synthetic_17",291.564,0.6670452285141346
"synthetic_18",10.1,0.3146029096008733
"synthetic_19",25.761,0.4127379335347315
"synthetic_20",7.637,0.2853057093862231
"synthetic_21",0.9,0.061186684106605826
"synthetic_22",45.098,0.47142823835656167
"synthetic_23",245.238,0.6489101623712795
"synthetic_24",0.923,0.06383147304641393
"synthetic_25",0.943,0.06607825949170196
"synthetic_26",70.693,0.5185405998506587
"synthetic_27",1977.826,0.8677006150996271
"synthetic_28",513.667,0.7263999652564087
"synthetic_29",55.332,0.49286300700963626
"synthetic_30",60.475,0.5021782519400768
"synthetic_31",34.886,0.4445183962340782
"synthetic_32",1.094,0.08164544558152548
"synthetic_33",303.036,0.6710900088216225
"synthetic_34",1.258,0.09628536442694483
"synthetic_35",10.122,0.31483095722599874
"synthetic_36",10.189,0.31552242489657156
"synthetic_37",375.967,0.6936919529905591
"synthetic_38",0.714,0.03692226238176546
"synthetic_39",0.846,0.05470161127738326
"synthetic_40",49.267,0.4806950546629883
"synthetic_41",1.116,0.08373220105492823
"synthetic_42",2.507,0.16855754840626386
"synthetic_43",26.629,0.41621119819262903
"synthetic_44",144.688,0.5936079741028962
"synthetic_45",55.45,0.4930862818450589
"synthetic_46",1153.254,0.8111657436163238
"synthetic_47",53.385,0.4891085966792957
"synthetic_48",20.687,0.3897475191689675
"synthetic_49",48.79,0.4796753603189864
"synthetic_50",91.439,0.5455105211994461
"synthetic_51",550.078,0.7335777689986105
"synthetic_52",0.994,0.07159862392970416
"synthetic_53",3.011,0.18775695213561225
"synthetic_54",2590.096,0.8959671394348552
"synthetic_55",10.292,0.3165766091778333
"synthetic_56",286.304,0.665137151494391
"synthetic_57",168.839,0.6097868437599293
"synthetic_58",34.218,0.442492050197206
"synthetic_59",666.402,0.753683512771244
"synthetic_60",10.075,0.3143431608334814
"synthetic_61",0.709,0.03618572685592577
"synthetic_62",51.907,0.48616597524641897
"synthetic_63",2372.159,0.886755049592286
"synthetic_64",10.404,0.3177109998699874
"synthetic_65",0.991,0.07128182195349247
"synthetic_66",112.158,0.5669162583784274
"synthetic_67",0.844,0.0544535435308123
"synthetic_68",304.699,0.6716636045289446
"synthetic_69",1439.607,0.8344104666659191
"synthetic_70",106.075,0.5610719016746902
"synthetic_71",10.191,0.31554299576493944
"synthetic_72",17.207,0.37044291115388567
"synthetic_73",55.649,0.4934617474843754
"synthetic_74",10.715,0.3207980610952682
"synthetic_75",8.23,0.2931434160001342
"synthetic_76",118.95,0.5730784413100459
"synthetic_77",329.204,0.6797708847215798
"synthetic_78",106.034,0.5610313833413104
"synthetic_79",45.582,0.4725470701063716
"synthetic_80",895.745,0.7846819777350086
